phase,t_s,wind_est_north,wind_est_east,cmd_north_m,cmd_east_m,actual_north_m,actual_east_m,pos_error_m,roll_deg,pitch_deg
correction_off,0.00,0.00,0.00,-15.350,159.600,-15.304,159.595,0.046,0.25,-0.16
correction_off,0.05,0.00,0.00,-15.350,159.600,-15.300,159.596,0.050,0.28,-0.16
correction_off,0.10,0.00,0.00,-15.350,159.600,-15.298,159.596,0.052,0.32,-0.17
correction_off,0.15,0.00,0.00,-15.350,159.600,-15.295,159.598,0.054,0.38,-0.18
correction_off,0.20,0.00,0.00,-15.350,159.600,-15.294,159.599,0.056,0.48,-0.19
correction_off,0.25,0.00,0.00,-15.350,159.600,-15.292,159.603,0.058,0.57,-0.18
correction_off,0.30,0.00,0.00,-15.350,159.600,-15.291,159.605,0.059,0.67,-0.14
correction_off,0.35,0.00,0.00,-15.350,159.600,-15.290,159.611,0.061,0.72,-0.09
correction_off,0.40,0.00,0.00,-15.350,159.600,-15.289,159.614,0.062,0.77,-0.01
correction_off,0.45,0.00,0.00,-15.350,159.600,-15.289,159.621,0.064,0.78,0.09
correction_off,0.50,0.00,0.00,-15.350,159.600,-15.290,159.626,0.066,0.78,0.26
correction_off,0.55,0.00,0.00,-15.350,159.600,-15.290,159.635,0.069,0.77,0.39
correction_off,0.60,0.00,0.00,-15.350,159.600,-15.291,159.640,0.072,0.74,0.60
correction_off,0.65,0.00,0.00,-15.350,159.600,-15.292,159.652,0.077,0.72,0.76
correction_off,0.70,0.00,0.00,-15.350,159.600,-15.293,159.659,0.082,0.68,1.02
correction_off,0.75,0.00,0.00,-15.350,159.600,-15.295,159.672,0.091,0.65,1.20
correction_off,0.80,0.00,0.00,-15.350,159.600,-15.296,159.679,0.096,0.62,1.45
correction_off,0.85,0.00,0.00,-15.350,159.600,-15.297,159.694,0.108,0.60,1.68
correction_off,0.90,0.00,0.00,-15.350,159.600,-15.298,159.704,0.116,0.58,1.94
correction_off,0.95,0.00,0.00,-15.350,159.600,-15.300,159.720,0.130,0.57,2.19
correction_off,1.00,0.00,0.00,-15.350,159.600,-15.300,159.728,0.138,0.56,2.45
correction_off,1.05,0.00,0.00,-15.350,159.600,-15.301,159.746,0.154,0.57,2.70
correction_off,1.10,0.00,0.00,-15.350,159.600,-15.302,159.757,0.164,0.58,2.96
correction_off,1.15,0.00,0.00,-15.350,159.600,-15.302,159.775,0.182,0.60,3.20
correction_off,1.20,0.00,0.00,-15.350,159.600,-15.302,159.785,0.191,0.62,3.46
correction_off,1.25,0.00,0.00,-15.350,159.600,-15.302,159.803,0.209,0.65,3.69
correction_off,1.30,0.00,0.00,-15.350,159.600,-15.302,159.815,0.221,0.69,3.94
correction_off,1.35,0.00,0.00,-15.350,159.600,-15.300,159.834,0.239,0.74,4.15
correction_off,1.40,0.00,0.00,-15.350,159.600,-15.299,159.843,0.248,0.79,4.38
correction_off,1.45,0.00,0.00,-15.350,159.600,-15.297,159.861,0.266,0.84,4.58
correction_off,1.50,0.00,0.00,-15.350,159.600,-15.295,159.872,0.278,0.91,4.78
correction_off,1.55,0.00,0.00,-15.350,159.600,-15.291,159.889,0.295,0.97,4.96
correction_off,1.60,0.00,0.00,-15.350,159.600,-15.289,159.897,0.303,1.05,5.14
correction_off,1.65,0.00,0.00,-15.350,159.600,-15.285,159.913,0.320,1.12,5.29
correction_off,1.70,0.00,0.00,-15.350,159.600,-15.282,159.922,0.329,1.20,5.43
correction_off,1.75,0.00,0.00,-15.350,159.600,-15.278,159.936,0.344,1.28,5.55
correction_off,1.80,0.00,0.00,-15.350,159.600,-15.275,159.943,0.351,1.37,5.67
correction_off,1.85,0.00,0.00,-15.350,159.600,-15.270,159.955,0.364,1.44,5.77
correction_off,1.90,0.00,0.00,-15.350,159.600,-15.267,159.962,0.372,1.53,5.86
correction_off,1.95,0.00,0.00,-15.350,159.600,-15.262,159.973,0.383,1.60,5.93
correction_off,2.00,0.00,0.00,-15.350,159.600,-15.260,159.977,0.388,1.68,6.00
correction_off,2.05,0.00,0.00,-15.350,159.600,-15.255,159.986,0.398,1.75,6.05
correction_off,2.10,0.00,0.00,-15.350,159.600,-15.252,159.991,0.403,1.83,6.09
correction_off,2.15,0.00,0.00,-15.350,159.600,-15.247,159.997,0.411,1.88,6.12
correction_off,2.20,0.00,0.00,-15.350,159.600,-15.245,160.000,0.414,1.95,6.14
correction_off,2.25,0.00,0.00,-15.350,159.600,-15.241,160.005,0.420,1.99,6.15
correction_off,2.30,0.00,0.00,-15.350,159.600,-15.238,160.008,0.423,2.04,6.15
correction_off,2.35,0.00,0.00,-15.350,159.600,-15.235,160.012,0.428,2.09,6.15
correction_off,2.40,0.00,0.00,-15.350,159.600,-15.233,160.013,0.430,2.14,6.14
correction_off,2.45,0.00,0.00,-15.350,159.600,-15.230,160.015,0.433,2.17,6.13
correction_off,2.50,0.00,0.00,-15.350,159.600,-15.229,160.017,0.434,2.21,6.11
correction_off,2.55,0.00,0.00,-15.350,159.600,-15.228,160.018,0.435,2.23,6.09
correction_off,2.60,0.00,0.00,-15.350,159.600,-15.228,160.018,0.435,2.25,6.07
correction_off,2.65,0.00,0.00,-15.350,159.600,-15.228,160.017,0.435,2.25,6.05
correction_off,2.70,0.00,0.00,-15.350,159.600,-15.228,160.017,0.434,2.25,6.02
correction_off,2.75,0.00,0.00,-15.350,159.600,-15.228,160.015,0.433,2.25,5.99
correction_off,2.80,0.00,0.00,-15.350,159.600,-15.228,160.014,0.432,2.23,5.96
correction_off,2.85,0.00,0.00,-15.350,159.600,-15.229,160.011,0.428,2.22,5.93
correction_off,2.90,0.00,0.00,-15.350,159.600,-15.230,160.009,0.426,2.20,5.90
correction_off,2.95,0.00,0.00,-15.350,159.600,-15.231,160.004,0.422,2.18,5.86
correction_off,3.00,0.00,0.00,-15.350,159.600,-15.232,160.002,0.419,2.16,5.82
correction_off,3.05,0.00,0.00,-15.350,159.600,-15.233,159.996,0.413,2.14,5.78
correction_off,3.10,0.00,0.00,-15.350,159.600,-15.234,159.993,0.410,2.12,5.72
correction_off,3.15,0.00,0.00,-15.350,159.600,-15.236,159.987,0.404,2.11,5.68
correction_off,3.20,0.00,0.00,-15.350,159.600,-15.237,159.984,0.401,2.09,5.63
correction_off,3.25,0.00,0.00,-15.350,159.600,-15.238,159.979,0.395,2.07,5.59
correction_off,3.30,0.00,0.00,-15.350,159.600,-15.239,159.976,0.392,2.05,5.54
correction_off,3.35,0.00,0.00,-15.350,159.600,-15.241,159.970,0.386,2.04,5.51
correction_off,3.40,0.00,0.00,-15.350,159.600,-15.241,159.968,0.384,2.03,5.46
correction_off,3.45,0.00,0.00,-15.350,159.600,-15.242,159.963,0.379,2.03,5.44
correction_off,3.50,0.00,0.00,-15.350,159.600,-15.243,159.960,0.376,2.02,5.41
correction_off,3.55,0.00,0.00,-15.350,159.600,-15.243,159.955,0.371,2.02,5.40
correction_off,3.60,0.00,0.00,-15.350,159.600,-15.243,159.953,0.369,2.02,5.38
correction_off,3.65,0.00,0.00,-15.350,159.600,-15.243,159.949,0.365,2.03,5.37
correction_off,3.70,0.00,0.00,-15.350,159.600,-15.243,159.946,0.363,2.04,5.36
correction_off,3.75,0.00,0.00,-15.350,159.600,-15.242,159.942,0.359,2.06,5.36
correction_off,3.80,0.00,0.00,-15.350,159.600,-15.242,159.941,0.358,2.08,5.35
correction_off,3.85,0.00,0.00,-15.350,159.600,-15.241,159.938,0.355,2.10,5.36
correction_off,3.90,0.00,0.00,-15.350,159.600,-15.240,159.936,0.354,2.13,5.36
correction_off,3.95,0.00,0.00,-15.350,159.600,-15.240,159.933,0.351,2.15,5.37
correction_off,4.00,0.00,0.00,-15.350,159.600,-15.239,159.932,0.350,2.18,5.39
